,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,economy_fare,business_fare,first_fare
0,MAA,CCU,08:10:00,4,2:30:00,10:40:00,4,AI786,AI,7068,,34862
1,MAA,CCU,08:10:00,2,2:30:00,10:40:00,2,AI786,AI,7198,,34535
2,MAA,CCU,07:55:00,4,2:20:00,10:15:00,4,6E321,6E,7227,,
3,MAA,CCU,05:10:00,4,2:30:00,07:40:00,4,6E987,6E,7227,,
4,MAA,CCU,13:30:00,4,2:25:00,15:55:00,4,6E6326,6E,7799,,
5,MAA,CCU,08:10:00,3,2:30:00,10:40:00,3,AI786,AI,8447,,34535
6,MAA,CCU,07:55:00,2,2:20:00,10:15:00,2,6E321,6E,8524,,
7,MAA,CCU,13:30:00,2,2:25:00,15:55:00,2,6E6326,6E,8524,,
8,MAA,CCU,05:10:00,2,2:30:00,07:40:00,2,6E987,6E,8524,,
9,MAA,CCU,19:55:00,2,2:30:00,22:25:00,2,6E6411,6E,8524,,
10,MAA,CCU,08:10:00,0,2:30:00,10:40:00,0,AI786,AI,8550,,33299
11,MAA,CCU,17:45:00,0,2:15:00,20:00:00,0,6E6009,6E,8609,,
12,MAA,CCU,15:50:00,0,2:15:00,18:05:00,0,6E986,6E,8609,,
13,MAA,CCU,19:55:00,0,2:30:00,22:25:00,0,6E6411,6E,8609,,
14,MAA,CCU,05:10:00,1,2:30:00,07:40:00,1,6E987,6E,8609,,
15,MAA,CCU,15:50:00,4,2:15:00,18:05:00,4,6E986,6E,8939,,
16,MAA,CCU,17:45:00,4,2:15:00,20:00:00,4,6E6009,6E,8939,,
17,MAA,CCU,07:55:00,6,2:20:00,10:15:00,6,6E321,6E,8939,,
18,MAA,CCU,05:10:00,6,2:30:00,07:40:00,6,6E987,6E,8939,,
19,MAA,CCU,05:10:00,0,2:30:00,07:40:00,0,6E987,6E,8939,,
20,MAA,CCU,08:10:00,6,2:30:00,10:40:00,6,AI786,AI,8964,,34862
21,MAA,CCU,08:10:00,5,2:30:00,10:40:00,5,AI786,AI,8964,,34535
22,MAA,CCU,15:50:00,3,2:15:00,18:05:00,3,6E986,6E,9103,,
23,MAA,CCU,17:45:00,2,2:15:00,20:00:00,2,6E6009,6E,9103,,
24,MAA,CCU,15:50:00,2,2:15:00,18:05:00,2,6E986,6E,9103,,
25,MAA,AMD,04:10:00,2,2:15:00,06:25:00,2,6E244,6E,7494,,
26,MAA,AMD,04:10:00,6,2:15:00,06:25:00,6,6E244,6E,7924,,
27,MAA,AMD,04:10:00,0,2:15:00,06:25:00,0,6E244,6E,7924,,
28,MAA,AMD,12:30:00,6,2:15:00,14:45:00,6,6E6374,6E,8545,,
29,MAA,AMD,17:55:00,1,2:15:00,20:10:00,1,6E998,6E,8709,,
30,MAA,AMD,12:30:00,0,2:15:00,14:45:00,0,6E6374,6E,8709,,
31,MAA,AMD,17:55:00,0,2:15:00,20:10:00,0,6E998,6E,9400,,
32,MAA,AMD,12:30:00,1,2:15:00,14:45:00,1,6E6374,6E,9400,,
33,MAA,AMD,17:55:00,6,2:15:00,20:10:00,6,6E998,6E,9960,,
34,MAA,AMD,04:10:00,4,2:15:00,06:25:00,4,6E244,6E,10762,,
35,MAA,AMD,17:55:00,2,2:15:00,20:10:00,2,6E998,6E,12829,,
36,MAA,AMD,12:30:00,5,2:15:00,14:45:00,5,6E6374,6E,15982,,
37,MAA,AMD,04:10:00,5,2:15:00,06:25:00,5,6E244,6E,15982,,
38,MAA,AMD,17:55:00,4,2:15:00,20:10:00,4,6E998,6E,15982,,
39,MAA,AMD,17:55:00,5,2:15:00,20:10:00,5,6E998,6E,15982,,
40,MAA,AMD,12:30:00,4,2:15:00,14:45:00,4,6E6374,6E,15982,,
41,MAA,AMD,04:10:00,3,2:15:00,06:25:00,3,6E244,6E,16288,,
42,MAA,AMD,12:30:00,3,2:15:00,14:45:00,3,6E6374,6E,16288,,
43,MAA,AMD,17:55:00,3,2:15:00,20:10:00,3,6E998,6E,16288,,
44,MAA,PNQ,03:15:00,4,1:40:00,04:55:00,4,6E401,6E,6258,,
45,MAA,PNQ,04:45:00,4,1:55:00,06:40:00,4,6E224,6E,6258,,
46,MAA,PNQ,03:15:00,3,1:40:00,04:55:00,3,6E401,6E,6376,,
47,MAA,PNQ,03:15:00,2,1:40:00,04:55:00,2,6E401,6E,6376,,
